iter	CrossEntropy
132	0.2273629935
133	0.2260687499
134	0.2247356738
135	0.2235467026
136	0.222809736
137	0.222032505
138	0.2196592
139	0.2192790101
140	0.2175334735
141	0.2162251472
142	0.2142638715
143	0.2121037078
144	0.2112077407
145	0.210180374
146	0.2083586745
147	0.2072591794
148	0.2053309426
149	0.2036679928
150	0.2019706155
151	0.2012430954
152	0.2005831812
153	0.1993883261
154	0.1983999292
155	0.1974793629
156	0.1944952987
157	0.1938937464
158	0.1931778779
159	0.192201686
160	0.1912916645
161	0.1903267463
162	0.1894587989
163	0.1889910241
164	0.1882494225
165	0.1873832885
166	0.1863803036
167	0.1855391011
168	0.1846167176
169	0.1837748024
170	0.1825916125
171	0.1817628386
172	0.1808415213
173	0.1803292944
174	0.1794199832
175	0.1785473762
176	0.1774950732
177	0.1752198274
178	0.1747719389
179	0.1739030836
180	0.1723760187
181	0.1704842735
182	0.1690557213
183	0.1682791969
184	0.1675393841
185	0.1667117381
186	0.1659227468
187	0.1639424173
188	0.1634606673
189	0.1623794909
190	0.1616454421
191	0.160501217
192	0.1597354054
193	0.158743904
194	0.1579443099
195	0.1567153177
196	0.1566004296
197	0.1559433344
198	0.1553315338
199	0.1548593316
200	0.1541572111
201	0.1535041332
202	0.1527915717
203	0.1522741466
204	0.151457227
205	0.1505503976
206	0.1499199361
207	0.1491529423
208	0.1485848921
209	0.1477143802
210	0.14690666
211	0.1466354941
212	0.1459505669
213	0.1454594098
214	0.144822658
215	0.1441267179
216	0.1435818524
217	0.1431780022
218	0.1423596693
219	0.1417713857
220	0.141050398
221	0.1404605937
222	0.139802719
223	0.1389290632
224	0.1383814626
225	0.1374207062
226	0.1369075862
227	0.1365246439
228	0.1362326985
229	0.1352359767
230	0.1349035755
231	0.1345277561
232	0.1338257333
233	0.1336977198
234	0.1325554798
235	0.1319872456
236	0.131381209
237	0.1311411215
238	0.1303125095
239	0.1292848142
240	0.1288533087
241	0.1284138341
242	0.1281858256
243	0.1276180077
244	0.1269744147
245	0.1265604545
246	0.1251667855
247	0.124933207
248	0.124681516
249	0.1244148022
250	0.123871823
251	0.1230153025
252	0.1226002861
253	0.1221180333
254	0.1218169156
255	0.1211496499
256	0.1209157884
257	0.1203206005
258	0.1195599761
259	0.1190278234
260	0.1185054112
261	0.1174231823
262	0.1164237588
263	0.1154710159
264	0.1145513502
265	0.114230046
266	0.1139159586
267	0.1133124964
268	0.1129206882
269	0.1124180994
270	0.1121704665
271	0.111779649
272	0.1115868845
273	0.1112353209
274	0.1107968975
275	0.110229743
276	0.1096060931
277	0.1093775559
278	0.1087706657
279	0.1083812887
280	0.1080760239
281	0.1074815908
282	0.1070091712
283	0.1065239684
284	0.1059861307
285	0.1057907151
286	0.1054932787
287	0.1050717818
288	0.1043998726
289	0.1040010502
290	0.1038154839
291	0.1031132337
292	0.1026637912
293	0.1019908109
294	0.1013796873
295	0.1011794762
296	0.1008922362
297	0.1004589296
298	0.1001826111
299	0.0998440493
300	0.09938843757
301	0.09894767573
302	0.09846836915
303	0.0977204303
304	0.09747145954
305	0.09707861984
306	0.09669307476
307	0.09632880329
308	0.09587947198
309	0.09573558081
310	0.09527339219
311	0.09463646251
312	0.09410536227
313	0.09379628903
314	0.09349706383
315	0.09328129131
316	0.09306223158
317	0.09285037258
318	0.09246070397
319	0.09226897714
320	0.09183149387
321	0.09168289115
322	0.09135425647
323	0.09121582669
324	0.09112507568
325	0.09100135003
326	0.09061997172
327	0.09051750855
328	0.09003638356
329	0.08963854819
330	0.08944997639
331	0.08933731435
332	0.08896774702
333	0.08858076649
334	0.08836421201
335	0.08806998866
336	0.08766306126
337	0.08728547417
338	0.08693087657
339	0.08675600334
340	0.08665269768
341	0.08626796297
342	0.08595548887
343	0.0856420475
344	0.08543924964
345	0.08502697698
346	0.0847340606
347	0.08471011621
348	0.0842312877
349	0.08379518306
350	0.08368311892
351	0.08324380366
352	0.08269751257
353	0.08248654425
354	0.08212972676
355	0.0819196034
356	0.08172112672
357	0.08145731348
358	0.08113062691
359	0.08103047381
360	0.08071752657
361	0.08042199871
362	0.07964573747
363	0.07960804262
364	0.07933596132
365	0.07877903034
366	0.07859105644
367	0.07830963975
368	0.07806676534
369	0.07804770914
370	0.07773832089
371	0.07759781081
372	0.07743753423
373	0.07709165435
374	0.07678942606
375	0.0766622526
376	0.07662039964
377	0.07648089389
378	0.07617448278
379	0.07600702894
380	0.07583539227
381	0.07581930581
382	0.07565937018
383	0.07548066742
384	0.07525487885
385	0.07511462696
386	0.07459911781
387	0.07421568762
388	0.07385792633
389	0.07334881619
390	0.07306313762
391	0.07287376532
392	0.0724601585
393	0.07231329389
394	0.07205429967
395	0.07195859005
396	0.07166996398
397	0.07142374058
398	0.07126870304
399	0.07101163345
400	0.07080887142
401	0.07075507159
402	0.07071405495
403	0.07057446519
404	0.07042851102
405	0.07025786509
406	0.07011929201
407	0.069822598
408	0.06955484158
409	0.0692711803
410	0.06898855545
411	0.06863571696
412	0.06838683637
413	0.06804442653
414	0.06778572631
415	0.06772541012
416	0.06743046039
417	0.06717189359
418	0.0667434974
419	0.06646409924
420	0.0663007294
421	0.06598930408
422	0.06572529813
423	0.06552989495
424	0.06532438061
425	0.06521283283
426	0.06507421405
427	0.06488603631
428	0.06458413169
429	0.06443648511
430	0.06421122032
431	0.06383760976
432	0.06367151972
433	0.06359788667
434	0.0633892593
435	0.06324093329
436	0.06305208354
437	0.06293709414
438	0.06274814803
439	0.06264519321
440	0.06249752193
441	0.06218953207
442	0.06211331224
443	0.06196307148
444	0.06182719512
445	0.06174308895
446	0.06163608472
447	0.06136901638
448	0.06116563916
449	0.06099901051
450	0.06071470191
451	0.06055796826
452	0.06034671457
453	0.060174438
454	0.06004446405
455	0.05983820357
456	0.05969360826
457	0.0595356961
458	0.05914119859
459	0.05891507401
460	0.05880166088
461	0.05867341145
462	0.05855307307
463	0.05842099165
464	0.05827206281
465	0.05813994185
466	0.05787674998
467	0.05764123442
468	0.05752662797
469	0.05749023022
470	0.05728599074
471	0.05715614279
472	0.05709162895
473	0.05699139926
474	0.05689471497
475	0.05680671751
476	0.05677633088
477	0.05652403955
478	0.05645881416
479	0.05620801264
480	0.05603926664
481	0.0559314372
482	0.05581415997
483	0.05573736448
484	0.05555835783
485	0.05544204415
486	0.05533777247
487	0.05527428148
488	0.05514031741
489	0.05510793696
490	0.05497535152
491	0.05487276235
492	0.05471844747
493	0.05456228454
494	0.05444936555
495	0.05431432675
496	0.05411606873
497	0.05401308672
498	0.05397718805
499	0.05374849151
500	0.053586441
501	0.05347292164
502	0.05338580127
503	0.05326963583
504	0.05313881197
505	0.05302490224
506	0.05289914324
507	0.05285958305
508	0.0526279316
509	0.05256705951
510	0.05243263096
511	0.05233419992
512	0.0523092512
513	0.05218089553
514	0.05208934033
515	0.05199105752
516	0.05181407928
517	0.05174507131
518	0.05160334691
519	0.05146756938
520	0.05119310883
521	0.05112850604
522	0.05108024913
523	0.05098213433
524	0.05093603431
525	0.05076275712
526	0.05064161577
527	0.05051714892
528	0.05045798158
529	0.05035944183
530	0.05027045364
531	0.05013322336
532	0.05000187572
533	0.04994095669
534	0.0497977153
535	0.04963391062
536	0.04946714115
537	0.04938963905
538	0.04929204061
539	0.04921767378
540	0.04913243605
541	0.04907131689
542	0.04889916138
543	0.04882670684
544	0.04857297759
545	0.04832017978
546	0.04822718171
547	0.04813334855
548	0.04809223432
549	0.04802462227
550	0.04797361552
551	0.04775395665
552	0.04766467198
553	0.04756655224
554	0.04752909458
555	0.04744213233
556	0.04736010398
557	0.04722141355
558	0.04710837596
559	0.04703428832
560	0.04693649717
561	0.04692151509
562	0.04676658255
563	0.04665811568
564	0.04638009738
565	0.04634123392
566	0.04628903878
567	0.04620510309
568	0.04606857695
569	0.04595140596
570	0.04587152708
571	0.04572087619
572	0.04563954951
573	0.04559761255
574	0.04553257493
575	0.04549499373
576	0.04535845524
577	0.04527071474
578	0.04508583533
579	0.04500141539
580	0.04493514491
581	0.04486383181
582	0.044689386
583	0.04459681536
584	0.04457461649
585	0.04452313784
586	0.04444826946
587	0.04435877973
588	0.04428091444
589	0.04388200434
590	0.04375666287
591	0.04366169816
592	0.04356866797
593	0.04342293863
594	0.0433304421
595	0.04323947738
596	0.04310450529
597	0.04298685499
598	0.04295183834
599	0.04285011143
600	0.04273717762
601	0.04270154083
602	0.042664182
603	0.04259800046
604	0.04253287637
605	0.0424659981
606	0.0422981786
607	0.04224522991
608	0.0420152091
609	0.04195341051
610	0.04186226543
611	0.04179699804
612	0.04166269549
613	0.04151497974
614	0.04144725404
615	0.04135923188
616	0.04128858339
617	0.04123524928
618	0.04117902944
619	0.04108925805
620	0.04103306538
621	0.04096447248
622	0.04087608466
623	0.04080495686
624	0.04070421081
625	0.04059089651
626	0.04053508679
627	0.04046538457
628	0.04041284601
629	0.04029198879
630	0.04016714393
631	0.04005967274
632	0.04001340224
633	0.03997456595
634	0.03992828557
635	0.03988915527
636	0.03984527143
637	0.03979260687
638	0.03969335803
639	0.03963644146
640	0.03954949404
641	0.03944865163
642	0.03937341512
643	0.03930374501
644	0.0392081404
645	0.03912130662
646	0.03904637648
647	0.03896910415
648	0.03892711037
649	0.0388763828
650	0.03881837914
651	0.03875603453
652	0.03868235949
653	0.03861232372
654	0.03850555914
655	0.03842744926
656	0.03834634
657	0.03830772113
658	0.03822260199
659	0.03815056746
660	0.03808174726
661	0.03791674925
662	0.03783633919
663	0.03774466786
664	0.03766346719
665	0.03759621833
666	0.03753603802
667	0.0374977601
668	0.03742958474
669	0.03740772188
670	0.03737420986
671	0.03729490666
672	0.03725819019
673	0.03722835946
674	0.03715547008
675	0.03711274745
676	0.03709005692
677	0.03695820527
678	0.03690649685
679	0.03685286379
680	0.03678752721
681	0.03665600169
682	0.03660394491
683	0.0365683946
684	0.03655635013
685	0.03652285541
686	0.03645360037
687	0.0364024355
688	0.03637092472
689	0.03630583521
690	0.03620905456
691	0.03613308427
692	0.03607328445
693	0.03599840866
694	0.03596325612
695	0.03594113385
696	0.03589284976
697	0.03586316726
698	0.03581205921
699	0.03576035574
700	0.03564132433
701	0.03558714526
702	0.03552272777
703	0.03546950237
704	0.0354317087
705	0.03533171866
706	0.03527451056
707	0.03521900226
708	0.03518603873
709	0.03512933217
710	0.03511751995
711	0.03502399316
712	0.03496395368
713	0.0348596647
714	0.03481233676
715	0.03473518549
716	0.03467591439
717	0.03457829866
718	0.03452253095
719	0.03447453346
720	0.03439212216
721	0.03435036061
722	0.03432486836
723	0.03430699561
724	0.03427652744
725	0.03422622977
726	0.03417322179
727	0.03412554548
728	0.03407268079
729	0.03401244119
730	0.03392607437
731	0.03389412875
732	0.03383048458
733	0.0337455878
734	0.03368925184
735	0.03368343838
736	0.03365850696
737	0.03360519508
738	0.03356692705
739	0.03352921491
740	0.03348595861
741	0.03338570175
742	0.03333777097
743	0.03327596249
744	0.03313294841
745	0.03309370693
746	0.03305214057
747	0.03299387996
748	0.03288115121
749	0.03274339715
750	0.03268421252
751	0.03261061901
752	0.03255553073
753	0.03249191867
754	0.0324781991
755	0.03247017687
756	0.03243938999
757	0.03241648699
758	0.03237890085
759	0.03232108744
760	0.03225127897
761	0.03217125927
762	0.03210703697
763	0.03206690605
764	0.03201974859
765	0.03191618598
766	0.0318422861
767	0.03173228249
768	0.03167908179
769	0.03164947589
770	0.03159593424
771	0.03152562176
772	0.03149277188
773	0.03146236054
774	0.0314240258
775	0.03136941682
776	0.03127216428
777	0.03122115259
778	0.03118817176
779	0.03112138244
780	0.03107380249
781	0.03104668207
782	0.03101534918
783	0.03095498604
784	0.03086430545
785	0.030834408
786	0.03077214987
787	0.03074513075
788	0.03073187566
789	0.03070412522
790	0.03066746806
791	0.03062806599
792	0.03056981774
793	0.03054602529
794	0.03045519152
795	0.03042882712
796	0.0303842342
797	0.03035093713
798	0.03028063206
799	0.03023246903
800	0.0301926519
801	0.0301622035
802	0.03012850124
803	0.03007554761
804	0.03004298927
805	0.0300170597
806	0.02999430246
807	0.02995044086
808	0.0299104063
809	0.02988203572
810	0.02983082638
811	0.02981739341
812	0.02977278566
813	0.02969579252
814	0.02964778021
815	0.02958704894
816	0.02957009034
817	0.02948096626
818	0.02943022634
819	0.02939440426
820	0.0293167218
821	0.02927981016
822	0.02922571508
823	0.02919577564
824	0.02916575713
825	0.02912742239
826	0.02908219451
827	0.02903445397
828	0.028988013
829	0.02896805254
830	0.02891840465
831	0.02882560918
832	0.02876935722
833	0.02867973407
834	0.02861362912
835	0.02857924002
836	0.02853124006
837	0.02850334879
838	0.02846310917
839	0.02843886212
840	0.02837457064
841	0.02832127359
842	0.02828409017
843	0.02824935024
844	0.02823813839
845	0.02820733668
846	0.02817666592
847	0.02815505013
