iter	CrossEntropy
0	0.6754150267
1	0.6588968407
2	0.6395287265
3	0.6263046377
4	0.6147591243
5	0.597766757
6	0.5894253983
7	0.5830348452
8	0.5787704096
9	0.5738022272
10	0.5620506298
11	0.5529446432
12	0.5496587633
13	0.5410353325
14	0.5386826686
15	0.5370018942
16	0.5340220335
17	0.5320902519
18	0.5297129451
19	0.526276237
20	0.5229571496
21	0.5224548214
22	0.5163859401
23	0.5090690604
24	0.5071107285
25	0.5041109706
26	0.5016243282
27	0.500843179
28	0.4999455417
29	0.4804789112
30	0.4785128807
31	0.472955183
32	0.46665962
33	0.4655128964
34	0.4636533501
35	0.4607947077
36	0.4594443376
37	0.4586660349
38	0.4524331371
39	0.4501343688
40	0.4500159822
41	0.4480406627
42	0.444770829
43	0.4412510809
44	0.4371658675
45	0.435704613
46	0.432958186
47	0.4325352629
48	0.41786186
49	0.4164489983
50	0.41492107
51	0.4110206168
52	0.3986476246
53	0.3980053373
54	0.3951367288
55	0.3941100218
56	0.3928810006
57	0.3914742223
58	0.3896178254
59	0.3874437889
60	0.3829269039
61	0.3795356114
62	0.3706943266
63	0.3701772962
64	0.3608763508
65	0.3587566157
66	0.3582642486
67	0.356722484
68	0.3551983444
69	0.3537642567
70	0.3531383486
71	0.3525798401
72	0.3500726779
73	0.3469311184
74	0.3451987017
75	0.3439689479
76	0.3412770354
77	0.3391130224
78	0.3363651142
79	0.3349808072
80	0.3336806378
81	0.3307981127
82	0.3307365315
83	0.329603832
84	0.3275676725
85	0.3248797896
86	0.3209233624
87	0.3163777182
88	0.3154487931
89	0.3128829836
90	0.3109844589
91	0.309361619
92	0.3083873722
93	0.3070516846
94	0.3050617986
95	0.302586469
96	0.3011296265
97	0.2988781917
98	0.2966431608
99	0.294002549
100	0.292657148
101	0.2918249671
102	0.2903956817
103	0.2870430224
104	0.2845996464
105	0.2825440156
106	0.280536541
107	0.2753475719
108	0.2724664421
109	0.2686741957
110	0.2672749146
111	0.2660735617
112	0.2642164922
113	0.2628808417
114	0.262221917
115	0.2596407764
116	0.2572794479
117	0.2542563251
118	0.2509036892
119	0.2500494947
120	0.2469233157
121	0.2458783716
122	0.2442242531
123	0.2424519902
124	0.2409354677
125	0.239439401
126	0.2385166655
127	0.2375011728
128	0.2352185867
129	0.2328672434
130	0.2307011476
131	0.2300914742
